nab_9,294,"weightedSum","prod","weightedSum"
,282,"","",""
nab_8,293,"weights[output][channel]","((UDATA_T) inputs[channel])","NULL"
,282,"","",""
nab_7,276,"weightedSum","p","weightedSum"
,259,"","",""
nab_6,275,"w","i","NULL"
,259,"","",""
nab_5,142,"weightedSum","p","weightedSum"
,118,"","",""
nab_4,141,"w","i","NULL"
,118,"","",""
nab_3,89,"weightedSum","prod","weightedSum"
,64,"","",""
nab_2,88,"weight","input","NULL"
,64,"","",""
nab_1,32,"weightedSum","prod","weightedSum"
,6,"","",""
nab_0,31,"weight","input","NULL"
,6,"","",""
