nab_9,264,"weightedSum","+","prod","weightedSum"
nab_8,263,"weights[output][channel]","*","((UDATA_T) inputs[channel])","NULL"
nab_7,246,"weightedSum","+","prod","weightedSum"
nab_6,245,"weights[output][c++]","*","((UDATA_T) inputs[channel][iy][ix])","NULL"
nab_5,126,"weightedSum","+","prod","weightedSum"
nab_4,125,"(*weights[output][channel])[sy][sx]","*","((UDATA_T) inputs[channel][iy + sy][ix + sx])","NULL"
nab_3,77,"weightedSum","+","prod","weightedSum"
nab_2,76,"(*weights[output][channel])[sy][sx]","*","((UDATA_T) inputs[channel][iy + sy][ix + sx])","NULL"
nab_1,28,"weightedSum","+","prod","weightedSum"
nab_0,27,"(*weights[output][channel])[sy][sx]","*","((UDATA_T) inputs[channel][iy + sy][ix + sx])","NULL"
